prestashop_product_id,shobi_code,inspired_by,original_brand,original_perfume,identity_status,fragrantica_status,fragrantica_id,fragrantica_url,evidence_note
5107,2839-JUL,POWDER LOVE,Juliette Has a Gun,Powder-love,CONFIRMED,FOUND,113627,https://www.fragrantica.com/p/113627,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi JUL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2839-jul-n | https://www.parfumo.com/Perfumes/Juliette_Has_a_Gun/powder-love"
5106,2838-JIM,I WANT CHOO WITH LOVE,Jimmy Choo,I-want-choo-with-love-1,CONFIRMED,FOUND,113626,https://www.fragrantica.com/p/113626,Unico candidato e nome coincidente dopo normalizzazione di accenti e punteggiatura. Identità confrontata sui campi disponibili; Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2838-jim-w | https://www.parfumo.com/Perfumes/Jimmy_Choo/i-want-choo-with-love-1
5105,2837-GUL,SCANDAL POUR HOMME ELIXIR,Jean Paul Gaultier,Scandal-pour-homme-elixir,CONFIRMED,FOUND,121453,https://www.fragrantica.com/p/121453,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi GUL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-men/2837-gul-mp | https://www.parfumo.com/Perfumes/Jean_Paul_Gaultier/scandal-pour-homme-elixir"
5104,2836-FRA,MADNESS,Franck Boclet,Madness,CONFIRMED,FOUND,90972,https://www.fragrantica.com/p/90972,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi FRA. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2836-fra-n | https://www.parfumo.com/Perfumes/Franck_Boclet/madness"
5103,2835-BORN,PURPLE STAIN,borntostandout,Purple-stain,CONFIRMED,FOUND,102810,https://www.fragrantica.com/p/102810,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi BORN. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2835-born-n | https://www.parfumo.com/Perfumes/borntostandout/purple-stain"
5102,2834-AMG,SINDBAD,Amouage,Elsewhere / Sindbad,CONFIRMED,FOUND,116626,https://www.fragrantica.com/p/116626,Parfumo riporta esplicitamente Sindbad come denominazione alternativa di Elsewhere. | Sources: https://leparfum.com.gr/en/niche-perfumes/2834-amg-n | https://www.parfumo.com/Perfumes/Amouage/elsewhere-sindbad
5101,2833-AMG,MEANDER,Amouage,Meander,CONFIRMED,FOUND,62859,https://www.fragrantica.com/p/62859,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi AMG. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2833-amg-n | https://www.parfumo.com/Perfumes/Amouage/meander"
5099,2832-ZAD,Zadig Eau de Parfum,Zadig & Voltaire,Zadig Eau de Parfum,CONFIRMED,FOUND,103492,https://www.fragrantica.com/p/103492,Match confermato tramite tabella Dupescan Shobi→originale con codice Shobi esatto. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2832-zad-w | https://www.parfumo.com/Perfumes/Zadig__Voltaire/zadig | https://www.parfumo.com/Perfumes/Zadig__Voltaire/this-is-us | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_is_Him | https://www.parfumo.com/Perfumes/Zadig__Voltaire/this-is-him-undressed | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_Is_Him_No_Rules | https://www.parfumo.com/Perfumes/Zadig__Voltaire/This_Is_Her_No_Rules | https://dupescan.it/brand-dupe/shobi-perfumery/
5098,2831-GISS,Martinique Osmanthus Gissah 2025,gissah,Martinique-osmanthus-eau-de-parfum-,CONFIRMED,FOUND,126288,https://www.fragrantica.com/p/126288,"Nome e marchio coincidono. candidate_name è troncato, ma candidate_url include esplicitamente eau-de-parfum-2025, coerente con la ricerca. Confronto: «Martinique Osmanthus Gissah 2025» / «Martinique-osmanthus-eau-de-parfum-» (gissah). | Sources: https://leparfum.com.gr/en/elegants-fragrances/Martinique_Osmanthus_Gissah_inspired | https://www.parfumo.com/Perfumes/gissah/martinique-osmanthus-eau-de-parfum-2025"
5097,2830-VAL,Sogno In Rosso,Valentino,Sogno-in-rosso,CONFIRMED,FOUND,95537,https://www.fragrantica.com/p/95537,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi VAL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/2830-val | https://www.parfumo.com/Perfumes/Valentino/sogno-in-rosso"
5096,2829-PARF,Athénaïs,Parfums de Marly,Athénaïs,CONFIRMED,FOUND,123716,https://www.fragrantica.com/p/123716,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi PARF. Associazione del codice desunta dalle altre righe del catalogo, Scheda recuperata tramite ricerca web. | Sources: https://leparfum.com.gr/en/niche-perfumes/2829-parf-n | https://www.parfumo.com/Perfumes/Parfums_de_Marly/athenais | https://www.parfumo.com/Perfumes/Parfums_de_Marly/Athalia | https://www.parfumo.com/Perfumes/house-of-james/athenais | https://www.parfumo.com/Perfumes/Parfums_de_Marly/Carlisle | https://www.parfumo.com/Perfumes/Parfums_de_Marly/haltane | https://www.parfumo.com/Perfumes/Parfums_de_Marly/althair"
5095,2828-ATEL,Vanille Carbone Atelier Materi,atelier-materi,Vanille-carbone,CONFIRMED,FOUND,104586,https://www.fragrantica.com/p/104586,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi ATEL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/Vanille_Carbone_fragrance | https://www.parfumo.com/Perfumes/atelier-materi/vanille-carbone"
5094,2827-BYR,Bal d'Afrique Absolu,Byredo,Bal d'Afrique Absolu de Parfum,CONFIRMED,FOUND,108421,https://www.fragrantica.com/p/108421,Match approvato dopo verifica mirata della denominazione e del marchio su fonte esterna autorevole. | Sources: https://leparfum.com.gr/en/niche-perfumes/absolu_perfumes | https://www.byredo.com/eu_it/p/bal-dafrique-absolu-de-parfum
5093,2826-SOL,Cheirosa 91 Sol de Janeiro,Sol de Janeiro,Cheirosa-91,CONFIRMED,FOUND,119651,https://www.fragrantica.com/p/119651,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi SOL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/Cheirosa_91_Sol_fragrances_type | https://www.parfumo.com/Perfumes/Sol_de_Janeiro/cheirosa-91"
5092,2825-RARB,Rare Beauty,Rare Beauty,Rare,CONFIRMED,FOUND,112206,https://www.fragrantica.com/p/112206,Match confermato tramite tabella Dupescan Shobi→originale con codice Shobi esatto. | Sources: https://leparfum.com.gr/en/elegants-fragrances/rare_beauty_perfume_inspired | https://dupescan.it/brand-dupe/shobi-perfumery/
5091,2824-NRO,Pure Musc Blanc For Her,Narciso Rodriguez,For-her-pure-musc-blanc,CONFIRMED,FOUND,122211,https://www.fragrantica.com/p/122211,Nome e versione corrispondono; cambiano ordine delle parole o inclusione del marchio nel nome. Confronto: «Pure Musc Blanc For Her» / «For-her-pure-musc-blanc» (Narciso Rodriguez). | Sources: https://leparfum.com.gr/en/fragrances-for-women/musc_perfumes | https://www.parfumo.com/Perfumes/Narciso_Rodriguez/for-her-pure-musc-blanc
5090,2823-KAY,Eden Plush Pear | 23 Kayali,Kayali,Eden-plush-pear-23,CONFIRMED,FOUND,127453,https://www.fragrantica.com/p/127453,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi KAY. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/Eden_Plush_Pear_parfum_type | https://www.parfumo.com/Perfumes/Kayali/eden-plush-pear-23"
5089,2822-DRC,Addict Purple Glow Eau De Parfum,Dior,Addict Purple Glow Eau De Parfum,CONFIRMED,FOUND,121565,https://www.fragrantica.com/p/121565,"Match approvato nella revisione completa: nome/variante coerenti con la scheda Parfumo già presente nelle fonti e marchio coerente con il codice Shobi, ricavato da più abbinamenti già confermati dello stesso codice-marchio. | Sources: https://leparfum.com.gr/en/fragrances-for-women/eau_de_parfums | https://www.parfumo.com/Perfumes/Dior/purple-glow | https://www.parfumo.com/Perfumes/Dior/Dior_Addict | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Eau_de_Toilette | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2012 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Parfum"
5088,2821-DRC,Addict Peachy Glow Eau de Parfum,Dior,Addict Peachy Glow Eau de Parfum,CONFIRMED,FOUND,121566,https://www.fragrantica.com/p/121566,"Match approvato nella revisione completa: nome/variante coerenti con la scheda Parfumo già presente nelle fonti e marchio coerente con il codice Shobi, ricavato da più abbinamenti già confermati dello stesso codice-marchio. | Sources: https://leparfum.com.gr/en/fragrances-for-women/peachy_perfumes | https://www.parfumo.com/Perfumes/Dior/peachy-glow | https://www.parfumo.com/Perfumes/Dior/Dior_Addict | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2014 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_2012 | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Eau_de_Toilette | https://www.parfumo.com/Perfumes/Dior/Dior_Addict_Parfum"
5087,2820-MIN,Queening Mind Games,mind-games,Queening,CONFIRMED,FOUND,89898,https://www.fragrantica.com/p/89898,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi MIN. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/Queening_Mind_Games_inspired | https://www.parfumo.com/Perfumes/mind-games/queening"
5086,2819-AKR,Awake Akro,Akro,Awake,CONFIRMED,FOUND,51704,https://www.fragrantica.com/p/51704,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi AKR. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/akro_perfume_type | https://www.parfumo.com/Perfumes/Akro/Awake"
5085,2818-SWISA,Shaghaf Oud Swiss Arabian,Swiss Arabian,Shaghaf-oud-eau-de-,CONFIRMED,FOUND,50582,https://www.fragrantica.com/p/50582,"Nome e marchio corrispondenti dopo rimozione delle etichette di collezione e concentrazione. Unica scheda principale compatibile fra i candidati disponibili; confronto testuale, non verifica olfattiva. | Sources: https://leparfum.com.gr/en/niche-perfumes/Swiss_Arabian_dupe | https://www.parfumo.com/Perfumes/Swiss_Arabian/shaghaf-oud-eau-de-parfum"
5084,2817-INI,Oud for Greatness Neo Initio Parfums,Initio,Oud for Greatness Neo Initio Parfums,CONFIRMED,FOUND,93090,https://www.fragrantica.com/p/93090,"Match approvato nella revisione completa: nome/variante coerenti con la scheda Parfumo già presente nelle fonti e marchio coerente con il codice Shobi, ricavato da più abbinamenti già confermati dello stesso codice-marchio. | Sources: https://leparfum.com.gr/en/luxury-perfumes/oud_greatness_perfume | https://www.parfumo.com/Perfumes/Initio/oud-for-greatness-neo | https://www.parfumo.com/Perfumes/Initio/oud-for-greatness-eau-de-parfum | https://www.parfumo.com/Perfumes/Initio/oud-for-greatness-parfum-pour-cheveux-1 | https://www.parfumo.com/Perfumes/Initio/Mystic_Experience | https://www.parfumo.com/Perfumes/Initio/oud-for-grace | https://www.parfumo.com/Perfumes/Boadicea_the_Victorious/glistening-2019"
5083,2816-MOOD,Blonde Maracuja Mood London,Mood London,Blonde Maracuja Mood London,CONFIRMED,UNRESOLVED,,,Nome ricavato dalla scheda Shobi; marchio corroborato da altre righe dello stesso codice in cui il brand è scritto esplicitamente. | Sources: https://leparfum.com.gr/en/elegants-fragrances/2816-mood | https://www.parfumo.com/Perfumes/Armaf/shk-ii | https://www.parfumo.com/Perfumes/Ma_Blonde/Ma_Blonde | https://www.parfumo.com/Perfumes/Phlur/mood-ring | https://www.parfumo.com/Perfumes/new-notes/cocktail-maracuja | https://www.parfumo.com/Perfumes/Clive_Christian/xxi-art-deco-blonde-amber
5082,2815-DOL,By for women,Dolce & Gabbana,By for women,CONFIRMED,FOUND,489,https://www.fragrantica.com/p/489,Nome ricavato dalla scheda Shobi; marchio corroborato da almeno 5 match già confermati con lo stesso codice-marchio. | Sources: https://leparfum.com.gr/en/fragrances-for-women/2815-dol-w | https://www.parfumo.com/Perfumes/Dolce_Gabbana/by-woman-eau-de-parfum | https://www.parfumo.com/Perfumes/Dolce_Gabbana/D_G_Feminine | https://www.parfumo.com/Perfumes/Dolce_Gabbana/Dolce__Gabbana_pour_Femme | https://www.parfumo.com/Perfumes/Dolce_Gabbana/Dolce | https://www.parfumo.com/Perfumes/Dolce_Gabbana/The_One_Eau_de_Parfum | https://www.parfumo.com/Perfumes/Dolce_Gabbana/the-only-one-eau-de-parfum
5081,2814-TMFO,Figue Erotique Tom Ford,Tom Ford,Figue-erotique,CONFIRMED,FOUND,119402,https://www.fragrantica.com/p/119402,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi TMFO. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/erotique_perfumes | https://www.parfumo.com/Perfumes/Tom_Ford/figue-erotique"
5080,2813-OMA,Caden Omanluxury,Omanluxury,Caden,CONFIRMED,FOUND,105465,https://www.fragrantica.com/p/105465,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi OMA. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/oman_parfums | https://www.parfumo.com/Perfumes/Omanluxury/caden"
5079,2812-ARM,Stronger With You Powerfully,Giorgio Armani,Emporio-armani-stronger-with-you-powerfully,CONFIRMED,FOUND,123070,https://www.fragrantica.com/p/123070,"Nome e marchio corrispondenti dopo rimozione delle etichette di collezione e concentrazione. Unica scheda principale compatibile fra i candidati disponibili; confronto testuale, non verifica olfattiva. | Sources: https://leparfum.com.gr/en/fragrances-for-men/2812-arm-mp | https://www.parfumo.com/Perfumes/Giorgio_Armani/emporio-armani-stronger-with-you-powerfully"
5078,2811-DRC,Sauvage Rare Blend,Dior,Sauvage-rare-blend,CONFIRMED,FOUND,118815,https://www.fragrantica.com/p/118815,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi DRC. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-men/2811-drc-mp | https://www.parfumo.com/Perfumes/Dior/sauvage-rare-blend"
5077,2810-MIN,Prodigy Mind Games,mind-games,Prodigy,CONFIRMED,FOUND,101192,https://www.fragrantica.com/p/101192,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi MIN. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/prodigy_perfume | https://www.parfumo.com/Perfumes/mind-games/prodigy"
5076,2809-AZZ,Forever Wanted Elixir Azzaro,Azzaro,Forever-wanted-elixir,CONFIRMED,FOUND,102882,https://www.fragrantica.com/p/102882,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi AZZ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-men/2809-azz-mp | https://www.parfumo.com/Perfumes/Azzaro/forever-wanted-elixir"
5075,2808-LES,Roasted Tangerine Les Liquides Imaginaires,Les Liquides Imaginaires,Roasted Tangerine,CONFIRMED,FOUND,103914,https://www.fragrantica.com/p/103914,Match confermato tramite tabella Dupescan Shobi→originale con codice Shobi esatto. | Sources: https://leparfum.com.gr/en/niche-perfumes/2808-les-n | https://www.parfumo.com/Perfumes/liquides-imaginaires/roasted-tangerine | https://www.parfumo.com/Perfumes/liquides-imaginaires/liquide-2022 | https://www.parfumo.com/Perfumes/liquides-imaginaires/liquide | https://www.parfumo.com/Perfumes/liquides-imaginaires/desert-suave | https://www.parfumo.com/Perfumes/liquides-imaginaires/ile-pourpre | https://www.parfumo.com/Perfumes/liquides-imaginaires/sancti | https://dupescan.it/brand-dupe/shobi-perfumery/
5074,2807-VIRT,Buttercream Haze The 7 Virtues,The 7 Virtues,Buttercream-haze,CONFIRMED,FOUND,116996,https://www.fragrantica.com/p/116996,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi VIRT. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/Buttercream_fragrance | https://www.parfumo.com/Perfumes/The_7_Virtues/buttercream-haze"
5073,2806-PHL,Afterglow Phlur,Phlur,Afterglow,CONFIRMED,FOUND,119441,https://www.fragrantica.com/p/119441,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi PHL. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2806-phl-n | https://www.parfumo.com/Perfumes/Phlur/afterglow"
5072,2805-MARG,Never-ending Summer Margiela,Maison Margiela,Never-ending-summer,CONFIRMED,FOUND,103564,https://www.fragrantica.com/p/103564,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi MARG. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/summer_fragrances | https://www.parfumo.com/Perfumes/Maison_Margiela/never-ending-summer"
5071,2804-BOYS,Coco Cream Boy Smells,boy-smells,Coco-cream,CONFIRMED,FOUND,105919,https://www.fragrantica.com/p/105919,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi BOYS. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/coco_cream_fragrance | https://www.parfumo.com/Perfumes/boy-smells/coco-cream"
5070,2803-AKR,Crush Akro,Akro,Crush,CONFIRMED,FOUND,105831,https://www.fragrantica.com/p/105831,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi AKR. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/elegants-fragrances/dolce_profumo | https://www.parfumo.com/Perfumes/Akro/crush"
5069,2802-HER,Terre Intense for men,Hermes,Terre Intense for men,CONFIRMED,FOUND,102772,https://www.fragrantica.com/p/102772,Nome ricavato dalla scheda Shobi; marchio corroborato da almeno 5 match già confermati con lo stesso codice-marchio. | Sources: https://leparfum.com.gr/en/fragrances-for-men/2802-her-mp | https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Parfum | https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_de_Toilette | https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-de-parfum-intense | https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_Intense_Vetiver | https://www.parfumo.com/Perfumes/Hermes/terre-d-hermes-eau-givree | https://www.parfumo.com/Perfumes/Hermes/Terre_d_Hermes_Eau_Tres_Fraiche
5068,2801-DON,Cashmere & Vanilla Essence,DKNY,Cashmere-vanilla-essence,CONFIRMED,FOUND,103064,https://www.fragrantica.com/p/103064,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi DON. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/fragrances-for-women/Cashmere_parfum | https://www.parfumo.com/Perfumes/DKNY/cashmere-vanilla-essence"
5067,2800-ACQ,Buongiorno,Acqua di Parma,Buongiorno,CONFIRMED,FOUND,103426,https://www.fragrantica.com/p/103426,"Nome coincidente dopo normalizzazione di accenti e punteggiatura; marchio coerente con il codice Shobi ACQ. Associazione del codice desunta dalle altre righe del catalogo, Non verificata online per questa riga. | Sources: https://leparfum.com.gr/en/niche-perfumes/2800-acq-n | https://www.parfumo.com/Perfumes/Acqua_di_Parma/buongiorno"
5066,2799-OBVI,Milk & Matcha Obvious,obvious,Milk-matcha-un-ete,CONFIRMED,FOUND,103407,https://www.fragrantica.com/p/103407,"La scheda Parfumo riunisce Milk & Matcha e Un Été nella stessa voce Obvious: match corretto a livello di catalogo, senza attestare identità di ogni formulazione. | Sources: https://leparfum.com.gr/en/niche-perfumes/latte_perfumes | https://www.parfumo.com/Perfumes/obvious/milk-matcha-un-ete"
5065,2798-NICO,Macaron Bourbon Nicolai Parfumeur Createur,Nicolaï Parfumeur-Créateur,Macaron Bourbon,CONFIRMED,FOUND,91006,https://www.fragrantica.com/p/91006,Match confermato con verifica web mirata sul prodotto/brand. | Sources: https://leparfum.com.gr/en/niche-perfumes/macaron_perfumes | https://www.parfumo.com/Perfumes/Nicolai/macaron-bourbon | https://www.parfumo.com/Perfumes/les-soeurs-de-noe/jardin-de-macarons | https://www.parfumo.com/Perfumes/Kyse_Perfumes/macarons
5064,2795-AMG,Jubilation 40 Man Amouage for men,Amouage,Jubilation 40 Man Amouage for men,CONFIRMED,FOUND,87958,https://www.fragrantica.com/p/87958,"Match approvato nella revisione completa: nome/variante coerenti con la scheda Parfumo già presente nelle fonti e marchio coerente con il codice Shobi, ricavato da più abbinamenti già confermati dello stesso codice-marchio. | Sources: https://leparfum.com.gr/en/niche-perfumes/2795-amg-n | https://www.parfumo.com/Perfumes/Amouage/jubilation-40 | https://www.parfumo.com/Perfumes/Amouage/Jubilation_25_for_Men | https://www.parfumo.com/Perfumes/Amouage/jubilation-xxv-man-attar | https://www.parfumo.com/Perfumes/Amouage/dia-40 | https://www.parfumo.com/Perfumes/Tops/Men | https://www.parfumo.com/Perfumes/Amouage/Dia_for_Men"
